Mother Tongue,Total - Age,  0 to 4 years,  5 to 9 years,  10 to 14 years,  15 to 19 years,  20 to 24 years,  25 to 29 years,  30 to 34 years,  35 to 39 years,  40 to 44 years,  45 to 49 years,  50 to 54 years,  55 to 59 years,  60 to 64 years,  65 to 69 years,  70 to 74 years,  75 to 79 years,  80 to 84 years,  85 to 89 years,  90 to 94 years,  95 to 99 years,  100 years and over
"        Turkic languages, n.i.e.",2885,225,200,225,255,235,235,260,320,275,240,165,95,60,30,25,20,15,5,0,0,0
      Mongolian,1020,85,60,80,90,90,80,110,155,125,90,25,10,0,0,5,0,0,0,0,0,0
      Afro-Asiatic languages,448500,31490,25550,24905,26750,31510,36015,41520,46590,47295,38955,28860,21095,16140,11640,8540,5950,3645,1565,405,55,10
        Berber languages (Kabyle),5850,590,390,305,215,150,325,800,1080,1035,545,190,110,50,25,15,15,5,0,0,0,0
        Cushitic languages,42525,3300,3075,3565,3545,3245,3340,3425,4250,4920,3725,2525,1440,740,450,365,285,245,65,20,5,0
          Oromo,11140,935,630,575,525,430,720,1220,1705,1785,1165,615,370,185,105,65,50,30,15,5,0,0
          Somali,31380,2365,2440,2985,3015,2815,2620,2210,2540,3135,2555,1910,1070,560,340,300,235,210,55,20,0,0
        Semitic languages,397760,27440,21970,20940,22910,28005,32185,37025,40870,40905,34450,26030,19455,15310,11140,8150,5640,3395,1495,385,55,10
          Amharic,18020,995,540,530,640,890,1560,2425,2735,2820,2340,1240,630,290,200,105,50,35,5,5,0,0
          Arabic,327870,23800,18845,17760,19530,24205,27200,30540,33395,33540,27745,21020,15335,11600,8560,6345,4335,2610,1155,300,40,10
          Hebrew,18450,1000,1125,1105,1040,985,1235,1650,1865,1470,1200,1140,1280,1460,815,480,270,180,100,35,5,0
          Maltese,6225,10,5,10,15,20,55,115,165,220,330,485,705,1080,970,780,670,380,170,30,5,0
          Tigrigna,10220,500,380,410,435,490,760,1060,1305,1330,1340,905,610,305,190,105,55,25,15,0,0,0
"          Semitic languages, n.i.e.",16970,1135,1080,1130,1255,1410,1370,1240,1400,1520,1490,1250,890,575,410,335,260,165,45,20,5,0
"        Afro-Asiatic languages, n.i.e.",2365,160,110,90,90,110,170,265,395,435,235,110,90,40,20,15,15,0,0,0,0,0
      Indo-Iranian languages,1085080,70910,66325,64640,63535,72030,92090,98515,99760,93995,80790,68485,59975,51180,39115,28485,18250,10415,4535,1490,475,80
        Indo-Aryan languages,887510,60165,57085,54370,50425,55855,71620,80640,83290,75720,63265,53365,48510,43640,34025,25090,15825,8990,3860,1250,440,75
          Bengali,59370,4365,4265,3780,3415,4005,5125,5845,6070,6670,4990,3975,2830,1465,1040,810,435,200,65,20,0,0
          Gujarati,91450,5030,4745,4725,4090,5185,6405,8055,9305,7530,6490,5875,5675,5775,4700,3495,2305,1325,535,170,30,0
          Hindi,90545,3905,3950,4255,4465,5665,7635,8890,9685,8540,7475,6315,5350,4740,3870,2820,1670,865,350,85,20,0
          Konkani,2825,50,55,65,55,75,90,130,220,300,330,310,290,255,180,140,120,90,45,15,5,0
          Marathi,5830,325,290,250,250,315,445,590,740,645,545,380,245,215,205,180,110,65,20,5,0,0
          Panjabi (Punjabi),430705,28970,26845,25355,23460,25790,35770,40345,38415,33710,27755,24275,24545,24290,19080,14055,9085,5335,2360,835,370,65
          Sindhi,11330,325,315,340,400,505,605,675,715,915,940,1025,1065,1035,780,690,500,300,160,35,5,5
          Sinhala (Sinhalese),14185,455,580,705,770,695,855,1120,1505,1695,1690,1435,940,695,420,295,170,105,40,15,5,0
          Urdu,172800,16180,15445,14215,12880,12915,13825,13900,15645,14895,12435,9395,7385,5055,3655,2530,1380,690,285,80,10,0
          Nepali,8485,545,585,680,645,710,875,1105,980,830,615,370,185,110,90,80,45,20,5,5,0,0
        Iranian languages,192315,10470,8970,10020,12830,15795,19975,17330,15955,17745,17110,14770,11205,7315,4915,3265,2355,1390,650,215,30,5
          Kurdish,9800,755,640,680,845,865,875,945,920,1030,960,525,340,180,95,60,45,20,15,0,0,0
