Mother tongue,Total - Age,  0 to 4 years,  5 to 9 years,  10 to 14 years,  15 to 19 years,  20 to 24 years,  25 to 29 years,  30 to 34 years,  35 to 39 years,  40 to 44 years,  45 to 49 years,  50 to 54 years,  55 to 59 years,  60 to 64 years,  65 to 69 years,  70 to 74 years,  75 to 79 years,  80 to 84 years,  85 to 89 years,  90 to 94 years,  95 to 99 years,  100 years and over
"              Slavic languages, n.i.e.",2415,20,25,50,45,55,80,105,95,110,170,200,205,250,235,170,225,205,115,50,5,0
          Celtic languages,2695,10,10,10,20,55,95,105,95,95,120,165,190,215,305,340,280,265,175,100,20,0
            Scottish Gaelic,1090,5,5,5,5,20,25,40,35,25,35,80,90,105,110,140,105,120,75,50,15,0
            Welsh,1070,0,5,5,10,15,25,25,25,45,55,60,60,85,130,155,140,110,75,35,10,0
"            Celtic languages, n.i.e.",530,0,5,5,5,20,45,40,35,20,25,25,40,35,60,55,35,35,30,15,0,0
          Germanic languages,538760,19970,18370,17505,17935,17765,18785,19170,19430,20785,27455,36345,41270,43455,45940,46675,47360,42045,26900,9645,1795,155
            Afrikaans,10260,350,425,435,525,640,675,925,905,1045,1100,990,805,525,310,230,165,125,65,15,0,0
            Danish,12630,45,60,75,90,110,175,200,265,420,505,725,845,1325,1825,1880,1460,1370,830,350,60,5
            Dutch,99020,665,830,985,1270,1575,1800,2025,2225,2955,4325,6225,8360,10930,13500,12430,10885,9770,5930,1975,335,30
            Frisian,2095,0,5,15,25,35,25,30,30,35,65,100,170,250,310,285,300,265,120,30,5,0
            German,384040,17005,15435,14615,14895,14400,15110,14980,14830,15165,20245,27050,29760,28495,26815,29280,32300,28185,18065,6210,1105,90
            Icelandic,1290,25,30,40,40,40,45,55,60,75,75,65,55,70,80,130,135,125,95,45,15,0
            Norwegian,4615,35,40,50,50,90,100,120,145,165,215,235,255,340,510,555,480,525,430,215,60,0
            Swedish,6840,85,115,155,125,200,320,325,440,515,555,555,405,420,605,700,485,410,265,120,30,5
            Vlaams (Flemish),3890,5,15,20,25,65,50,65,90,90,170,195,260,355,495,515,485,510,305,145,35,10
            Yiddish,13555,1740,1400,1105,885,595,470,410,405,295,175,165,325,700,1460,635,620,695,775,530,155,15
"            Germanic languages, n.i.e.",525,15,10,5,5,20,25,30,35,30,25,40,25,40,35,40,50,55,15,5,5,0
          Greek,106525,1615,2130,2335,2280,2385,2635,3540,6400,8840,10040,9175,7465,7855,9935,9315,9475,6670,3355,900,160,25
          Indo-Iranian languages,1312750,67265,68835,68015,73625,87525,108610,126085,121910,112990,101535,86255,73705,66125,56225,40545,27105,15685,7350,2505,650,200
            Indo-Aryan languages,1064760,55425,57625,56880,60525,71385,87340,97485,96790,91980,80425,67170,57745,54140,48080,35195,23755,13550,6365,2135,570,195
              Bengali,73125,3645,4225,4510,4150,4680,5960,7390,7635,7195,7230,5270,4180,3005,1690,1070,780,335,140,25,5,0
              Gujarati,108775,4570,4535,4550,5025,6935,9935,9200,9385,9745,7710,6745,6260,6370,6315,4875,3395,1945,935,290,65,5
              Hindi,110640,3975,4000,4110,4835,7215,10245,12200,11310,10710,8820,7655,6365,5490,5040,3970,2550,1375,570,165,40,0
              Kashmiri,565,0,10,5,5,20,35,45,55,45,85,60,55,40,30,30,25,15,5,0,0,0
              Konkani,3330,55,60,65,70,80,140,180,245,280,355,355,305,320,275,185,145,130,60,30,5,0
              Marathi,8295,410,365,290,290,470,820,1135,960,820,685,555,380,290,240,240,190,105,40,10,0,0
              Nepali,18275,1460,1215,1200,1280,1290,1730,2385,2425,1740,1230,840,525,325,220,195,115,65,25,10,5,0
              Oriya (Odia),1055,55,50,25,20,20,105,210,175,115,90,45,45,30,25,20,10,5,5,0,0,0
              Punjabi (Panjabi),501680,26780,26005,24665,27905,33695,40030,44745,44820,40555,34745,29435,27120,28350,26855,19370,13080,7715,3830,1385,410,175
              Sindhi,11860,255,325,340,410,475,580,670,740,820,900,965,1065,1080,1040,815,640,440,205,85,10,0
              Sinhala (Sinhalese),16335,385,445,685,810,890,945,1180,1460,1770,1875,1800,1430,930,695,480,305,145,65,20,5,0
