Mother tongue,Total - Age,  0 to 4 years,  5 to 9 years,  10 to 14 years,  15 to 19 years,  20 to 24 years,  25 to 29 years,  30 to 34 years,  35 to 39 years,  40 to 44 years,  45 to 49 years,  50 to 54 years,  55 to 59 years,  60 to 64 years,  65 to 69 years,  70 to 74 years,  75 to 79 years,  80 to 84 years,  85 to 89 years,  90 to 94 years,  95 to 99 years,  100 years and over
"              Slavey, n.o.s.",280,0,0,5,0,5,15,10,10,20,30,35,25,20,25,25,20,15,5,5,0,0
            Tahltan languages,275,5,5,10,5,5,0,10,5,10,10,35,35,30,45,30,15,10,5,5,0,0
              Kaska (Nahani),180,0,10,5,5,0,0,10,5,5,5,25,25,20,25,20,10,5,5,5,0,0
              Tahltan,95,5,0,5,0,0,0,5,0,5,5,10,10,10,20,10,5,5,0,0,0,0
            Tutchone languages,290,0,5,5,10,10,10,10,15,10,15,35,35,35,20,30,25,15,10,0,0,0
              Northern Tutchone,220,0,5,5,10,10,5,10,15,10,15,25,30,25,10,20,15,10,5,0,0,0
              Southern Tutchone,70,0,0,0,0,0,5,0,5,0,0,10,5,10,5,10,10,10,0,0,0,0
"          Athabaskan languages, n.i.e.",50,0,0,0,0,0,0,0,5,5,5,10,5,5,0,5,5,0,0,0,0,0
        Haida,80,0,5,0,0,0,5,5,0,0,0,5,10,10,5,5,5,10,5,5,0,0
        Inuit languages,36550,4070,4025,3505,3450,3265,3095,2500,2180,2075,2170,1895,1395,1080,840,500,285,155,45,15,5,0
          Inuinnaqtun (Inuvialuktun),1020,15,20,10,20,30,50,40,50,45,90,125,145,130,85,60,50,25,10,0,0,0
          Inuktitut,35215,4035,3985,3480,3420,3220,3020,2440,2115,2015,2055,1745,1215,925,725,410,230,130,30,15,0,0
"          Inuit languages, n.i.e.",315,15,15,15,10,15,20,25,20,15,25,25,30,20,25,25,10,5,0,0,0,0
        Iroquoian languages,1115,50,60,55,55,55,60,50,50,60,55,75,110,105,80,45,55,45,20,25,0,0
          Cayuga,40,0,5,0,0,0,0,0,0,0,0,5,5,5,5,5,0,0,0,0,0,0
          Mohawk,985,45,50,50,45,50,55,45,45,55,40,70,90,95,70,35,45,45,20,25,0,0
          Oneida,55,5,5,0,0,5,5,5,5,5,0,5,10,0,5,5,0,0,0,0,0,0
"          Iroquoian languages, n.i.e.",35,0,0,0,0,0,0,0,0,0,5,0,5,5,5,0,5,0,0,0,0,0
        Kutenai,105,5,0,5,5,0,0,5,0,5,10,15,10,20,15,10,0,0,0,0,0,0
        Michif,465,0,0,5,5,0,5,10,15,15,30,40,70,75,65,55,40,25,10,0,5,0
        Salish languages,2305,60,90,60,70,70,95,95,75,90,100,190,210,225,270,245,185,115,40,20,5,0
          Comox,85,0,0,0,0,0,0,0,0,0,5,10,15,5,25,15,10,0,0,0,0,0
          Halkomelem,475,10,15,10,15,20,20,20,20,25,30,45,45,45,45,55,30,25,5,0,0,0
          Lillooet,315,10,25,10,15,15,15,20,10,15,10,25,20,25,35,25,10,10,5,0,0,0
          Okanagan,275,5,10,5,0,10,10,5,5,5,10,20,20,30,30,40,35,15,5,5,0,0
          Shuswap (Secwepemctsin),445,15,10,5,10,10,15,25,15,15,15,45,55,50,40,35,35,25,5,5,0,0
          Squamish,40,0,0,5,5,0,0,0,5,0,0,5,5,0,5,0,5,5,0,0,0,0
          Straits,80,5,15,5,0,0,5,10,0,0,5,5,5,0,0,0,10,5,0,0,0,0
          Thompson (Ntlakapamux),340,5,10,5,5,5,5,10,5,10,10,20,30,45,60,45,30,20,10,5,0,0
"          Salish languages, n.i.e.",255,5,5,10,10,5,10,10,5,15,10,20,20,20,30,30,25,15,0,0,0,0
        Siouan languages,4290,240,300,245,295,325,325,330,290,310,305,335,305,225,170,130,65,65,20,5,0,0
          Dakota,1210,40,50,40,50,55,60,75,65,75,100,130,130,120,80,70,35,35,10,5,0,0
          Stoney,3025,200,255,205,245,275,265,255,220,230,200,200,170,100,85,55,35,30,10,0,0,0
"          Siouan languages, n.i.e.",55,0,0,0,5,0,0,0,5,5,5,5,5,5,5,5,5,5,0,0,0,0
        Tlingit,100,0,0,0,10,0,10,0,5,5,5,5,15,10,5,10,5,5,10,0,0,0
        Tsimshian languages,1480,10,30,25,25,30,30,60,30,45,90,130,185,195,180,190,105,75,30,5,0,0
          Gitxsan (Gitksan),880,5,15,10,15,20,20,35,25,30,65,95,130,125,90,105,50,30,15,5,0,0
          Nisga'a,395,5,10,10,0,5,10,15,5,15,15,30,45,60,70,50,30,15,10,5,0,0
          Tsimshian,200,0,5,5,10,5,5,5,5,5,5,10,10,20,20,35,30,30,5,0,0,0
        Wakashan languages,810,15,15,10,10,20,20,10,15,20,40,55,60,90,120,130,95,50,30,0,0,0
          Haisla,95,0,0,0,0,0,5,0,0,0,5,10,0,10,10,20,15,10,0,0,0,0
          Heiltsuk,95,0,0,0,0,5,0,0,0,10,5,0,5,10,10,20,25,5,10,0,0,0
          Kwakiutl (Kwak'wala),325,10,5,0,5,10,5,5,5,10,20,30,30,30,50,50,30,20,10,0,0,0
          Nuu-chah-nulth (Nootka),280,5,10,5,5,10,5,0,5,10,10,10,20,40,40,40,30,15,10,0,0,0
"          Wakashan languages, n.i.e.",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0
"        Aboriginal languages, n.o.s.",585,10,5,5,20,40,35,30,15,35,40,55,40,55,55,65,40,20,10,5,0,0
      Non-Aboriginal languages,7125365,260870,260115,266485,330605,408465,467965,539940,569040,591215,609325,593270,516745,442085,389635,284445,248580,186320,108695,42135,8295,1140
        Afro-Asiatic languages,575365,34720,35115,32395,32835,36520,43125,52605,56335,56965,53450,43010,30710,22250,16830,11845,8000,5045,2605,815,170,15
          Berber languages,22135,1665,1470,1160,855,720,960,2105,3310,3555,3170,1690,645,460,195,95,50,25,5,5,0,0
            Kabyle,13150,1110,985,780,540,420,600,1355,2095,2045,1655,860,325,225,75,40,30,10,5,5,0,0
"            Berber languages, n.i.e.",8985,560,485,380,315,300,360,745,1215,1510,1515,825,320,235,120,55,25,15,0,5,0,0
          Cushitic languages,42885,3095,2695,2860,3485,3475,4130,4210,3420,3460,3850,3085,2255,1245,605,335,270,190,170,45,10,0
            Bilen,805,95,50,25,25,45,145,145,70,65,40,25,25,25,10,5,0,0,0,0,0,0
            Oromo,4960,455,305,240,330,320,435,590,580,505,440,320,250,105,40,20,15,5,10,0,0,0
            Somali,36755,2525,2305,2560,3110,3085,3530,3435,2735,2845,3335,2720,1955,1110,540,315,255,180,160,45,10,0
"            Cushitic languages, n.i.e.",365,20,40,30,25,20,25,40,35,40,40,15,25,5,5,0,0,0,0,0,0,0
          Semitic languages,509190,29900,30890,28305,28420,32240,37930,46175,49470,49840,46305,38165,27745,20520,16015,11400,7675,4835,2425,765,155,10
            Amharic,22465,1070,710,590,825,990,1485,2490,3120,3270,2975,2445,1280,585,310,185,80,40,15,5,5,0
            Arabic,419890,25340,26900,24355,24085,27725,32190,38430,40610,40420,37820,30510,22235,16070,12140,8810,5975,3665,1865,605,115,10
            Assyrian Neo-Aramaic,16070,905,880,920,1015,1035,1250,1300,1295,1305,1365,1315,1080,815,545,375,305,220,120,25,5,0
            Chaldean Neo-Aramaic,5545,350,345,345,370,370,495,450,415,435,445,420,325,285,190,135,90,45,25,0,0,0
            Harari,1320,45,65,65,85,90,45,60,75,140,230,215,100,40,30,10,15,0,5,0,0,0
            Hebrew,19530,1030,1195,1230,1095,1040,1010,1380,1845,1960,1420,1135,1055,1235,1335,750,410,235,110,50,20,0
            Maltese,5565,0,5,5,20,20,40,65,100,165,215,330,470,675,1025,870,665,565,260,60,10,0
            Tigrigna,16650,1055,715,690,820,835,1255,1850,1825,1960,1660,1590,1005,675,345,200,95,55,15,5,0,0
"            Semitic languages, n.i.e.",2155,100,80,100,100,145,165,155,175,180,180,215,195,140,95,60,40,15,20,0,5,0
"          Afro-Asiatic languages, n.i.e.",1150,60,55,75,75,85,105,115,135,120,125,65,65,30,20,15,0,0,0,0,0,0
        Austro-Asiatic languages,176725,5640,5670,6420,8435,10790,11500,14535,13695,15340,17280,18175,18125,12745,6970,4060,3015,2200,1405,525,155,25
